Date,SO2,NO2,O3,CO,PM10,PM2.5,AQI,AQI Category,Station code,District,Latitude,Longitude
2017-06-14,0.004,0.028,0.036,0.425,38.25,19.375,59.7,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-15,0.005,0.032,0.044,0.45,44.708,26.5,78.08,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-16,0.006,0.036,0.061500000000000006,0.596,59.917,39.833,115.64,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-06-17,0.006,0.029,0.061500000000000006,0.521,43.792,29.792,86.57,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-18,0.004,0.027,0.05,0.45,36.75,24.667,73.35,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-19,0.004,0.04,0.037,0.517,45.5,31.417,90.76,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-20,0.003,0.036,0.048,0.496,41.625,29.542,85.92,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-21,0.004,0.029,0.039,0.421,47.167,33.417,95.92,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-22,0.003,0.028,0.033,0.396,32.792,21.708,65.72,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-23,0.003,0.038,0.039,0.471,36.667,21.583,65.4,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-24,0.005,0.047,0.023,0.546,33.083,21.292,78.03,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-25,0.003,0.029,0.039,0.471,33.0,22.375,67.44,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-26,0.002,0.025,0.039,0.438,22.042,14.25,57.64,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-27,0.003,0.026,0.044,0.458,24.542,16.125,61.8,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-28,0.004,0.032,0.045,0.529,41.917,32.958,94.73,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-29,0.004,0.033,0.039,0.513,43.75,34.5,98.71,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-06-30,0.003,0.027,0.044,0.529,47.792,37.25,105.78,Unhealthy,101,Jongno-gu,37.5720164,127.0050075
2017-07-01,0.003,0.025,0.038,0.496,38.208,29.083,84.74,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-02,0.003,0.02,0.019,0.308,26.0,17.25,54.22,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-03,0.003,0.024,0.025,0.4,22.375,13.292,44.31,Good,101,Jongno-gu,37.5720164,127.0050075
2017-07-04,0.004,0.026,0.035,0.433,33.667,23.708,70.88,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-05,0.004,0.029,0.044,0.471,35.083,26.208,77.33,Moderate,101,Jongno-gu,37.5720164,127.0050075
2017-07-06,0.004,0.037,0.049,0.571,40.958,30.583,88.61,Moderate,101,Jongno-gu,37.5720164,127.0050075
